class_idx,avg_iou,total_gt_pixels,total_pred_pixels
0,0.9447943005553779,71503485,92184916
1,0.524700233746089,11135004,9615210
2,0.8076328365890789,39181625,43784522
3,0.08960906778256501,859688,1206837
4,0.18709001149676768,3303497,6409415
5,0.3970376122255471,3977667,3565741
6,0.2110809328810025,402393,273951
7,0.470532948292737,1504700,1637356
8,0.8227021750312702,24561349,26478062
9,0.15836178546112423,1295026,1337156
10,0.7296822317900954,5925779,6438684
11,0.40320287566208757,3624089,4150616
12,0.1889087663062898,382049,321955
13,0.7114689687197105,8707871,8940347
14,0.24049811560912263,753133,409768
15,0.17493979167260412,857320,838901
16,0.09853138714446733,446700,602550
17,0.12669423714439212,260611,159245
18,0.32016101290663745,972224,1359968
